,0
2019-01-03,11941178.431233838
2019-01-04,11977852.484779883
2019-01-07,11964030.841857629
2019-01-08,11928667.705420619
2019-01-09,11918125.728414718
2019-01-10,11923604.004268864
2019-01-11,11904169.43389829
2019-01-14,11938324.734559244
2019-01-15,11927866.866695592
2019-01-16,11837895.19906437
2019-01-17,11845289.54673491
2019-01-18,11840341.211340787
2019-01-22,11830787.279793981
2019-01-23,11828574.580006411
2019-01-24,11862184.815912228
2019-01-25,11930375.739322893
2019-01-28,11927289.18810854
2019-01-29,11996741.391904451
2019-01-30,12001135.267809752
2019-01-31,11943893.62523953
2019-02-01,11944922.614019206
2019-02-04,12006303.975651555
2019-02-05,11959350.75249706
2019-02-06,11975849.222705862
2019-02-07,11940423.31814282
2019-02-08,11914789.91669623
2019-02-11,11872514.700076574
2019-02-12,11875076.392856125
2019-02-13,11923485.718294423
2019-02-14,11900779.881830135
2019-02-15,11904352.738794206
2019-02-19,11938474.733457573
2019-02-20,11935952.033781853
2019-02-21,11990799.832800709
2019-02-22,11967928.678623727
2019-02-25,11931702.861374496
2019-02-26,11956879.23061505
2019-02-27,11942992.119023342
2019-02-28,11944494.358420616
2019-03-01,11968413.144553728
2019-03-04,11979584.10317761
2019-03-05,11948649.124836303
2019-03-06,11975997.101933433
2019-03-07,11932972.404867949
2019-03-08,11910576.289327439
2019-03-11,11923218.20471368
2019-03-12,11932132.153683612
2019-03-13,11960068.619509494
2019-03-14,11947865.355044244
2019-03-15,11921596.423445301
2019-03-18,11933128.561759034
2019-03-19,11944993.629096992
2019-03-20,11921269.0684774
2019-03-21,11903689.747313188
2019-03-22,11938706.28866295
2019-03-25,11921733.67263162
2019-03-26,11926246.531692075
2019-03-27,11914703.913527625
2019-03-28,11900263.359347261
2019-03-29,11906112.448333843
2019-04-01,11889830.680580443
2019-04-02,11899981.755206713
2019-04-03,11906468.501442255
2019-04-04,11900290.051003195
2019-04-05,11898154.009928778
2019-04-08,11895269.038178107
2019-04-09,11868283.601049902
2019-04-10,11813189.823062915
2019-04-11,11799472.488487823
2019-04-12,11787785.984931733
2019-04-15,11779548.142774481
2019-04-16,11778877.561577473
2019-04-17,11793515.020386364
2019-04-18,11753998.062088493
2019-04-22,11749144.007300708
2019-04-23,11761718.593916388
2019-04-24,11716605.218295392
2019-04-25,11715468.866788361
2019-04-26,11689809.578525523
2019-04-29,11717676.430818975
2019-04-30,11729436.856582632
2019-05-01,11775768.032811064
2019-05-02,11790765.084752295
2019-05-03,11789467.322368499
2019-05-06,11779862.798366167
2019-05-07,11778619.305799033
2019-05-08,11784056.169171104
2019-05-09,11753171.174717816
2019-05-10,11740245.758100165
2019-05-13,11703715.570310067
2019-05-14,11664802.136365997
2019-05-15,11687716.334395029
2019-05-16,11718507.581753517
2019-05-17,11728928.595011475
2019-05-20,11703746.113617606
2019-05-21,11736712.36204388
2019-05-22,11769483.764331145
2019-05-23,11740724.441768827
2019-05-24,11745672.60124759
2019-05-28,11742509.54228693
2019-05-29,11689654.613533834
2019-05-30,11686561.773013456
2019-05-31,11631344.428212013
2019-06-03,11587765.828397172
2019-06-04,11589732.103901267
2019-06-05,11677965.334245123
2019-06-06,11663689.704167452
2019-06-07,11663342.965264175
2019-06-10,11671450.994136676
2019-06-11,11671138.775780503
2019-06-12,11661274.617720073
2019-06-13,11675106.247308956
2019-06-14,11650252.343927665
2019-06-17,11630667.295916328
2019-06-18,11640898.093590138
2019-06-19,11669603.794977745
2019-06-20,11628138.849267308
2019-06-21,11606792.200450972
2019-06-24,11631390.432277136
2019-06-25,11640037.514626095
2019-06-26,11651144.698093155
2019-06-27,11690784.05515501
2019-06-28,11685277.705792673
2019-07-01,11753443.71444211
2019-07-02,11692156.017767731
2019-07-03,11648838.988690339
2019-07-05,11688112.202293824
2019-07-08,11717916.505982269
2019-07-09,11695340.319742091
2019-07-10,11719902.298896143
2019-07-11,11730654.36863341
2019-07-12,11721982.314317364
2019-07-15,11762527.033932269
2019-07-16,11783419.040450862
2019-07-17,11817591.567632811
2019-07-18,11782568.755443294
2019-07-19,11762775.439207902
2019-07-22,11783670.909693403
2019-07-23,11787252.471456695
2019-07-24,11836488.870367656
2019-07-25,11873817.236713117
2019-07-26,11848666.189968286
2019-07-29,11844043.414117528
2019-07-30,11796403.714243801
2019-07-31,11859589.23521198
2019-08-01,11858837.213312538
2019-08-02,11857901.77802882
2019-08-05,11825119.850074062
2019-08-06,11843901.644962575
2019-08-07,11777612.860353965
2019-08-08,11840355.760439083
2019-08-09,11806586.327519456
2019-08-12,11787784.704033406
2019-08-13,11816085.811709525
2019-08-14,11820003.916080568
2019-08-15,11830444.405392518
2019-08-16,11810247.26432855
2019-08-19,11814779.10001943
2019-08-20,11789850.382885084
2019-08-21,11739939.645005943
2019-08-22,11730498.129407948
2019-08-23,11736027.243203891
2019-08-26,11713423.359920852
2019-08-27,11694422.833126893
2019-08-28,11724346.277597455
2019-08-29,11726669.352455478
2019-08-30,11744388.204288654
2019-09-03,11763131.203052256
